"","n","parameter","estimation"
"339","100","beta",0.541691839240282
"340","100","beta",0.999999
"341","100","beta",0.53786977007558
"342","100","beta",0.265595460239198
"343","100","beta",0.967322261912646
"344","100","beta",0.166217203022509
"345","100","beta",1e-06
"346","100","beta",0.288936308599814
"347","100","beta",0.837075386101709
"348","100","beta",0.528741224867996
"349","100","beta",0.902520284457521
"350","100","beta",0.913371883126547
"351","100","beta",0.866159338097621
"352","100","beta",1e-06
"353","100","beta",0.79361743373891
"354","100","beta",0.844794564311642
"355","100","beta",0.853435328343721
"356","100","beta",1e-06
"357","100","beta",0.900550349288659
"358","100","beta",0.906582874784417
"359","100","beta",0.148715900238642
"360","100","beta",0.844760595235835
"361","100","beta",0.673832903069016
"362","100","beta",1e-06
"363","100","beta",0.946173819822391
"364","100","beta",0.973476828370877
"365","100","beta",0.39827233684192
"366","100","beta",0.857567179770983
"367","100","beta",0.850200896394295
"368","100","beta",0.997861780230746
"369","100","beta",0.759467684591148
"370","100","beta",0.999999
"371","100","beta",0.999999
"372","100","beta",0.929700922233161
"373","100","beta",0.621681867168584
"374","100","beta",1e-06
"375","100","beta",0.922395454540134
"376","100","beta",0.703062511972333
"377","100","beta",0.911967157598052
"378","100","beta",0.877421675579158
"379","100","beta",0.93103401837143
"380","100","beta",0.955260155470823
"381","100","beta",0.935590439601565
"382","100","beta",0.880887657023915
"383","100","beta",0.997315454749266
"384","100","beta",0.797471122944556
"385","100","beta",0.913340528986909
"386","100","beta",0.961834288397732
"387","100","beta",0.895151317527269
"388","100","beta",1e-06
"389","100","beta",0.715218235576583
"390","100","beta",0.999999
"391","100","beta",0.788556450069713
"392","100","beta",0.90454850773471
"393","100","beta",0.999431600395567
"394","100","beta",0.372449681334512
"395","100","beta",0.763666975020456
"396","100","beta",0.619531456088595
"397","100","beta",0.84034465584514
"398","100","beta",0.998926884548642
"399","100","beta",1e-06
"400","100","beta",0.743734379314913
"401","100","theta",0.118170691479942
"402","100","theta",0.33673090937818
"403","100","theta",-0.279788914437072
"404","100","theta",0.177264202894318
"405","100","theta",1.04621615846212
"406","100","theta",-0.148758726244753
